What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
Africa,,25-29,41310,Finance / Banking,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, $25,001 - $40,000",Other,"nan, C#, VBA, Coldfusion",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, Other gaming system","$1,001-$2,000",Stack Overflow
Australasia,,51-60,11,Software Products,Mature Small Business (25-100),Server Programmer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Web Platform,"nan, SQL, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Other Smart Phone",$251-$500,Stack Overflow
Other Europe,,,,,,,,nan,nan,nan,,nan,,,,nan,,
Canada,,40-50,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, $10,001 - $25,000",Mobile,"nan, JavaScript, CSS, PHP, SQL, C#",Windows 7,It pays the bills,"$120,000 - $140,000","iPhone, HDTV, Xbox","$501-$1,000",Stack Overflow
Australia,,35-39,11,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","<$10,000",Web Platform,"Java, JavaScript, CSS, PHP, SQL",Windows XP,I enjoy going to work,"<$20,000","iPhone, HDTV, Wii",$251-$500,Stack Overflow
United States of America,California,30-34,11,Software Products,Start Up (1-25),Embedded Application Developer,I run this place,"Influencer, Approver, Purchaser, Check Writer","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,"Java, Python, C++, C",Mac OS X,I enjoy going to work,,"nan, Android, Regular Mobile Phone, iPad",,Stack Overflow
India,,20-24,<2,Software Products,Start Up (1-25),Web Application Developer,I run this place,"nan, No Involvement",nan,nan,Web Platform,"nan, asp.net c#",Windows XP,I enjoy going to work,"<$20,000","nan, Android, Regular Mobile Phone",<$100,Stack Overflow
Other Europe,,25-29,41310,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"nan, Recommender, No Involvement","Hardware, Software","nan, Don't know",Enterprise,"nan, SQL, C#",Windows 7,It pays the bills,"<$20,000","nan, Regular Mobile Phone, Kindle",$100-$250,Stack Overflow
Australasia,,40-50,11,Consulting,Mature Small Business (25-100),Database Administrator,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, >$150,000",Enterprise,"nan, Python, SQL, Perl",Linux,It pays the bills,">$140,000","iPhone, HDTV, AppleTV, Xbox","$2,001-$3,000",Stack Overflow
United States of America,Virginia,25-29,41310,Consulting,Start Up (1-25),Web Application Developer,Once in a blue moon,"nan, Recommender",nan,nan,,nan,,,,nan,,
Australia,,20-24,41435,Other,"Other (not working, consultant, etc.)",Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, JavaScript, CSS, PHP, Python, C#, C++, C, ocaml",Linux,It pays the bills,"<$20,000","nan, Regular Mobile Phone, Other netbook",$100-$250,Stack Overflow
United States of America,Texas,30-34,41435,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, >$150,000",Enterprise,"Java, CSS, SQL, C#, Objective-c",Windows 7,So happy it hurts,"$80,000 - $100,000","iPhone, Regular Mobile Phone, Blu-Ray, HDTV, AppleTV, iPad, Xbox, Wii",">$3,000",Stack Overflow
United States of America,Kentucky,35-39,11,Software Products,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, HDTV, iPad, PS3, Xbox, Wii",">$3,000",Stack Overflow
United States of America,California,40-50,11,Web Services,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","<$10,000",Web Platform,"nan, JavaScript, SQL, C#",Windows XP,I enjoy going to work,"$80,000 - $100,000","nan, Android, HDTV, Xbox","$501-$1,000",Stack Overflow
Australia,,35-39,11,Consulting,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Mobile,"Java, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$120,000 - $140,000","nan, Android, HDTV, iPad, PS3",">$3,000",Stack Overflow
United States of America,California,40-50,11,Other,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Mobile,"nan, SQL, C#",Windows 7,I enjoy going to work,">$140,000","iPhone, Kindle, Blu-Ray, HDTV, iPad, Other netbook, Wii","$1,001-$2,000",Stack Overflow
India,,30-34,41310,Web Services,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, Ruby, C#",Windows XP,It pays the bills,"$20,000 - $40,000","nan, Other Smart Phone",$251-$500,Stack Overflow
Canada,,35-39,11,Software Products,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",SaaS,"Java, JavaScript, CSS, PHP",Windows 7,So happy it hurts,"$80,000 - $100,000","nan, Regular Mobile Phone, HDTV, iPad, Xbox, Wii","$501-$1,000",Stack Overflow
United States of America,Maryland,< 20,41310,Software Products,Start Up (1-25),Student,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"Java, Python, Ruby, C#, f#",Windows 7,I enjoy going to work,Student / Unemployed,"nan, Android","$1,001-$2,000",Stack Overflow
Australia,,35-39,11,Consulting,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Enterprise,"nan, SQL, coldfusion",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Blackberry, Blu-Ray, Xbox, Wii","$1,001-$2,000",Stack Overflow
United States of America,Oregon,40-50,11,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,I run this place,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Other,"nan, JavaScript, CSS, PHP, Ruby, SQL, Perl",Mac OS X,I enjoy going to work,,"nan, Regular Mobile Phone, AppleTV, Wii",$251-$500,Stack Overflow
United States of America,Ohio,25-29,41435,Foundation / Non-Profit,"Fortune 1000 (1,000+)",IT Staff / System Administrator,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"nan, None",Windows 7,It pays the bills,"$80,000 - $100,000","nan, Blackberry, HDTV, Other netbook, Xbox, ZuneHD","$1,001-$2,000",Server Fault
United States of America,Louisiana,25-29,41310,Manufacturing,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, >$150,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV, Other netbook, Xbox","$501-$1,000",Stack Overflow
United States of America,Massachusetts,35-39,11,Software Products,"Fortune 1000 (1,000+)",Embedded Application Developer,Unless it's stoopid it gets done,"Influencer, Approver, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, >$150,000",Enterprise,"nan, C#, C++, C, Perl",Linux,So happy it hurts,">$140,000","iPhone, Other Smart Phone, Kindle, Blu-Ray, HDTV, AppleTV, iPad, Other netbook, PS3, Xbox, Wii, Other gaming system",">$3,000",Stack Overflow
United States of America,New Jersey,25-29,41435,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"nan, JavaScript, SQL, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, HDTV, Xbox","$501-$1,000",Stack Overflow
Australia,,25-29,41435,Advertising,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",,nan,,,,nan,,
United States of America,Washington,25-29,41310,Consulting,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV, PS3, Xbox","$501-$1,000",Stack Overflow
United States of America,New Mexico,30-34,41435,Other,"Fortune 1000 (1,000+)",Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender",nan,nan,,nan,,,,nan,,
United States of America,Mississippi,30-34,11,Retail,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, Consultants, Other","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#, Perl",Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android, HDTV, Wii",">$3,000",Stack Overflow
United States of America,Illinois,20-24,41310,Other,"Other (not working, consultant, etc.)",Other,It's been known to happen,"nan, No Involvement",nan,nan,Other,"nan, C#",Windows 7,FML,Student / Unemployed,"iPhone, Android, Blackberry, Regular Mobile Phone, Blu-Ray, HDTV, Wii",$100-$250,Stack Overflow
India,,30-34,41435,Web Services,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Enterprise,"Java, JavaScript, CSS",Windows XP,I enjoy going to work,"<$20,000","nan, Other Smart Phone",<$100,Stack Overflow
United States of America,Michigan,35-39,11,Healthcare,Mid Sized (100-999),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","<$10,000",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,So happy it hurts,"$100,000 - $120,000","iPhone, Kindle, Blu-Ray, HDTV, iPad, Xbox, Wii","$1,001-$2,000",Stack Overflow
United States of America,California,30-34,11,Consulting,"Other (not working, consultant, etc.)",Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Mobile,"nan, CSS, PHP, Ruby",Mac OS X,It pays the bills,"$60,000 - $80,000","iPhone, Blu-Ray, HDTV, AppleTV, iPad, Wii","$2,001-$3,000",Stack Overflow
United States of America,California,30-34,11,Web Services,,,,nan,nan,nan,,nan,,,,nan,,
South America,,25-29,41310,Software Products,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, $25,001 - $40,000",Enterprise,"Java, SQL, C#",Windows 7,I enjoy going to work,"<$20,000","nan, Blackberry",$251-$500,Stack Overflow
United States of America,New York,40-50,11,Consulting,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, $10,001 - $25,000",Mobile,"nan, CSS, SQL, C#, Basic",Windows 7,I enjoy going to work,">$140,000","iPhone, Kindle, HDTV, Other netbook, Xbox, Wii, Other gaming system",">$3,000",Stack Overflow
United States of America,Washington,,,,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Ohio,30-34,11,Consulting,Start Up (1-25),Other,I run this place,"nan, Approver, Check Writer","Hardware, Servers, Software","nan, Don't know",Other,"nan, CSS, Ruby, C#",Linux,So happy it hurts,,"nan, Android, HDTV, Wii",$100-$250,Stack Overflow
United States of America,Florida,30-34,41435,Software Products,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,"nan, JavaScript, CSS, Ruby, SQL, C#",Windows XP,So happy it hurts,"$80,000 - $100,000","nan, Regular Mobile Phone, Wii, iPod Touch",$100-$250,Stack Overflow
United States of America,Maryland,30-34,41435,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"nan, JavaScript, CSS, C#",Windows XP,I enjoy going to work,,"nan, HDTV","$501-$1,000",Stack Overflow
United States of America,Ohio,40-50,11,Consulting,Start Up (1-25),Other,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"Java, JavaScript, CSS, Ruby, C#, Perl",Windows XP,I enjoy going to work,"$100,000 - $120,000","nan, Android, Kindle, HDTV",$251-$500,Stack Overflow
Canada,,51-60,11,Other,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,It's been known to happen,Influencer,"nan, Software, Consultants","<$10,000",Enterprise,"nan, Webfocus",Windows XP,So happy it hurts,"$100,000 - $120,000","nan, Regular Mobile Phone",$251-$500,Stack Overflow
United States of America,North Carolina,30-34,11,Software Products,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, Approver","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"nan, JavaScript, CSS, C#",Windows 7,So happy it hurts,"$120,000 - $140,000","nan, Android, Blu-Ray, HDTV, iPad, PS3",$100-$250,Stack Overflow
United States of America,New York,25-29,41435,Software Products,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,"nan, SQL, C#, C, Delphi",Windows 7,It pays the bills,"$40,000 - $60,000","iPhone, HDTV","$2,001-$3,000",Stack Overflow
United States of America,Iowa,30-34,41435,Healthcare,Mid Sized (100-999),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, SQL, PL/SQL",Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Kindle",<$100,Programmers Stack Exchange
United States of America,Texas,51-60,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, $41,000 - $75,000",Mobile,"nan, JavaScript, CSS, SQL, C#",Windows 7,It pays the bills,"$100,000 - $120,000","nan, Kindle, HDTV",$100-$250,Stack Overflow
United States of America,Iowa,25-29,41310,Retail,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, HDTV, Other netbook, Xbox, Wii, Other gaming system, iPod Touch","$1,001-$2,000",Stack Overflow
United States of America,California,20-24,41310,Web Services,Student,Student,Once in a blue moon,"Influencer, Recommender","nan, Software","<$10,000",Web Platform,"Java, JavaScript, Ruby",Mac OS X,It pays the bills,Student / Unemployed,"iPhone, Regular Mobile Phone","$1,001-$2,000",Stack Overflow
United States of America,Connecticut,30-34,11,Consulting,Start Up (1-25),Web Application Developer,I run this place,"nan, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $10,001 - $25,000",Web Platform,"nan, JavaScript, CSS, Ruby, C#",Windows 7,It pays the bills,"$120,000 - $140,000","iPhone, Other Smart Phone, Kindle, HDTV, Other netbook, Xbox","$2,001-$3,000",Stack Overflow
United States of America,Pennsylvania,35-39,11,Consulting,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $25,001 - $40,000",Enterprise,"nan, JavaScript, CSS, SQL, C#, Perl",Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Kindle, HDTV, Xbox, Wii","$1,001-$2,000",Stack Overflow
Canada,,20-24,41310,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,Influencer,"nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Wii","$1,001-$2,000",Stack Overflow
United States of America,Illinois,40-50,11,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software, Consultants, Other","nan, Don't know",Enterprise,"Java, JavaScript, CSS, SQL, C++",Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, Android, Other Smart Phone, AppleTV, iPad, Other netbook, Xbox, Wii, Other gaming system",">$3,000",Stack Overflow
United States of America,California,40-50,11,Software Products,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$100,000 - $120,000","nan, Android, Kindle, Xbox",$100-$250,Stack Overflow
India,,25-29,41435,Manufacturing,Mid Sized (100-999),Embedded Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Other,"nan, C++, C",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Other Smart Phone",$251-$500,Programmers Stack Exchange
United States of America,Washington,30-34,11,Software Products,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,I run this place,"nan, Recommender, Approver","nan, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, C#",Windows 7,So happy it hurts,">$140,000","nan, Other Smart Phone, HDTV, Xbox",$251-$500,Stack Overflow
Other Europe,,40-50,11,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,Influencer,"nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"<$20,000","nan, Other Smart Phone, Regular Mobile Phone",$251-$500,Stack Overflow
United States of America,Tennessee,40-50,11,Consulting,Start Up (1-25),Other,I run this place,"nan, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",Other,"Java, JavaScript, CSS, SQL, C#, C++, C",Windows 7,So happy it hurts,">$140,000","iPhone, HDTV","$1,001-$2,000",Programmers Stack Exchange
United States of America,New York,40-50,11,Education,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,Influencer,"nan, Software","<$10,000",Web Platform,"Java, JavaScript, CSS, PHP, SQL, C#",Mac OS X,I enjoy going to work,"$80,000 - $100,000","iPhone, Kindle, Blu-Ray, HDTV, AppleTV, iPad, Wii",">$3,000",Stack Overflow
Australia,,30-34,11,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software","nan, $25,001 - $40,000",Enterprise,"nan, SQL, C#",Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, Blu-Ray, HDTV, PS3, Xbox","$1,001-$2,000",Stack Overflow
United States of America,Maryland,40-50,11,Other,Mature Small Business (25-100),Embedded Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Other,"nan, SQL, C++, TCL",Windows XP,I enjoy going to work,">$140,000","nan, Regular Mobile Phone, HDTV, Other netbook, Other gaming system",">$3,000",Stack Overflow
United States of America,Wisconsin,25-29,41435,Consulting,"Other (not working, consultant, etc.)",Web Application Developer,It's been known to happen,"Influencer, Recommender, Purchaser, Check Writer","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"nan, JavaScript, SQL, C#",Windows 7,FML,"$60,000 - $80,000","nan, Other Smart Phone, Kindle, HDTV, Xbox, Wii, Other gaming system","$1,001-$2,000",Stack Overflow
United States of America,Nebraska,30-34,41435,Education,Mid Sized (100-999),IT Manager,I run this place,"Influencer, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $41,000 - $75,000",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Other netbook, Wii, iPod Touch","$501-$1,000",Stack Overflow
South America,,20-24,41310,Software Products,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"Java, SQL, C++, C",Linux,I enjoy going to work,"$20,000 - $40,000","nan, Other netbook","$501-$1,000",Stack Overflow
United States of America,Massachusetts,20-24,41310,Consulting,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,"nan, CSS, SQL, C#, C++, C",Windows XP,It pays the bills,,"nan, PS3, Xbox, Wii, Other gaming system","$501-$1,000",Meta Stack Overflow
United States of America,Maryland,40-50,11,Other,Mid Sized (100-999),Embedded Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, $10,001 - $25,000",Other,"nan, C++, C",Windows XP,It pays the bills,"$120,000 - $140,000","nan, Regular Mobile Phone, Xbox, Wii",$251-$500,Stack Overflow
United States of America,Ohio,25-29,41310,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, SQL, C#, C++, C, Objective-C",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Kindle, HDTV, Wii, iPod touch","$1,001-$2,000",Stack Overflow
United States of America,California,30-34,11,Software Products,Mature Small Business (25-100),Server Programmer,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",SaaS,"Java, SQL, C#",Mac OS X,I enjoy going to work,"$120,000 - $140,000","nan, Regular Mobile Phone, HDTV, Other gaming system",<$100,Stack Overflow
United States of America,Minnesota,< 20,41310,Other,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,"nan, JavaScript, CSS, PHP, SQL",Windows XP,I enjoy going to work,Student / Unemployed,nan,$100-$250,Other
Australia,,40-50,11,Consulting,Mid Sized (100-999),Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, SQL",Linux,It pays the bills,"$80,000 - $100,000","nan, Regular Mobile Phone, HDTV, Other netbook",$100-$250,Stack Overflow
Canada,,30-34,41435,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,Influencer,"Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $100,001 - $150,000",Web Platform,"nan, JavaScript, SQL, C#, Flash, Flex, Actionscript",Windows 7,It pays the bills,"$40,000 - $60,000","nan, Other Smart Phone, HDTV, Wii, ipod","$1,001-$2,000",Stack Overflow
Canada,,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $25,001 - $40,000",Web Platform,"nan, JavaScript, CSS, PHP",Mac OS X,So happy it hurts,"$80,000 - $100,000","iPhone, HDTV, iPad",">$3,000",Stack Overflow
United States of America,New York,20-24,41435,Other,"Fortune 1000 (1,000+)",Other,It's been known to happen,"nan, Recommender",Hardware,"nan, Don't know",Enterprise,"Java, PHP, bash",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, HDTV, Other netbook, Wii, Other gaming system","$1,001-$2,000",Stack Overflow
Other Europe,,35-39,41310,Other,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,"nan, Python, Ruby, C++, C",Mac OS X,It pays the bills,,iPhone,$100-$250,Stack Overflow
United Kingdom,,30-34,11,Web Services,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Software, User Equipment: Monitors, PCs, Laptops, Other","nan, Don't know",SaaS,"Java, JavaScript, CSS, Python, SQL, Perl",Windows XP,I enjoy going to work,"$80,000 - $100,000","iPhone, Kindle, HDTV, Other netbook, Xbox",">$3,000",Stack Overflow
United States of America,California,30-34,41310,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"nan, JavaScript, CSS, PHP, SQL",Mac OS X,I enjoy going to work,"$40,000 - $60,000","iPhone, Kindle, HDTV, Xbox",">$3,000",Stack Overflow
United Kingdom,,30-34,41310,Retail,Start Up (1-25),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,"nan, JavaScript, CSS, PHP, SQL, Delphi",Windows XP,It pays the bills,"$20,000 - $40,000","iPhone, Other Smart Phone, Blu-Ray, Other netbook, Xbox, Wii",$251-$500,Stack Overflow
United States of America,California,51-60,11,Other,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Approver, Check Writer","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $41,000 - $75,000",Web Platform,"nan, JavaScript, CSS, Python, C, Perl, Maya MEL",Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Android, HDTV","$501-$1,000",Stack Overflow
United Kingdom,,,,,,,,nan,nan,nan,,nan,,,,nan,,
Australia,,30-34,41310,Healthcare,Mature Small Business (25-100),IT Staff / System Administrator,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, >$150,000",Other,"Java, JavaScript, CSS, PHP",Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Regular Mobile Phone, Xbox",">$3,000",Server Fault
United States of America,California,30-34,41435,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,Influencer,"nan, Servers, Software","nan, Don't know",Web Platform,"Java, JavaScript, CSS, SQL",Windows 7,I'm not happy in my job,"$80,000 - $100,000","nan, Blackberry, Regular Mobile Phone, Kindle","$1,001-$2,000",Stack Overflow
Australia,,20-24,41310,Software Products,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,"nan, C++, C",Windows XP,I enjoy going to work,"$80,000 - $100,000","nan, Regular Mobile Phone, Xbox, Other gaming system","$501-$1,000",Stack Overflow
United States of America,Virginia,40-50,11,Education,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software","nan, >$150,000",SaaS,"Java, C++, Perl",Mac OS X,I enjoy going to work,">$140,000","nan, Android, Kindle, Blu-Ray, HDTV, PS3, Wii","$1,001-$2,000",Other
Australia,,35-39,11,Consulting,Mid Sized (100-999),Manager of Developers or Team Leader,It's been known to happen,Influencer,"nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows XP,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, Wii","$501-$1,000",Stack Overflow
United States of America,California,25-29,41310,Software Products,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Mobile,"nan, CSS, Python, Ruby, C++, C, Objective-C",Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, iPad","$501-$1,000",Stack Overflow
