Year,Which languages are you proficient in?,What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
2011,Java,Other Europe,,30-34,11,Finance / Banking,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,Windows XP,It pays the bills,"$20,000 - $40,000","nan, Regular Mobile Phone, HDTV, Xbox, Other gaming system","$1,001-$2,000",Stack Overflow
2011,"Java, CSS, PHP, Python, SQL, C#, C++, C, Assembly, Lisp, Scheme, LOLCODE",Netherlands,,< 20,41435,Education,Student,Student,I run this place,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,Student / Unemployed,"nan, Android, HDTV, Xbox, Other gaming system, Bad ass computer system it's like a freaking beast.","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, Ruby, SQL",United States of America,North Dakota,25-29,41435,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Web Platform,Mac OS X,It pays the bills,"$80,000 - $100,000","nan, Android, HDTV","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, SQL, C#",Other Europe,,25-29,<2,Web Services,"Other (not working, consultant, etc.)",Web Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",Web Platform,Windows XP,So happy it hurts,"<$20,000","nan, Regular Mobile Phone",<$100,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,Illinois,35-39,11,Consulting,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software, Other","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, Regular Mobile Phone, Nook, Wii",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, C",United States of America,Florida,30-34,41435,Education,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV, iPad, Xbox",$251-$500,Stack Overflow
2011,"nan, CSS, C#, C++",United Kingdom,,35-39,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Software","<$10,000",Other,Windows Vista,So happy it hurts,"$40,000 - $60,000","nan, Regular Mobile Phone, Other netbook, Other gaming system",<$100,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,Texas,35-39,11,Other,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,Windows XP,I enjoy going to work,"$80,000 - $100,000","nan, Android, Kindle, Blu-Ray, HDTV, Other netbook, Xbox, Wii","$501-$1,000",Stack Overflow
2011,"Java, Python, Ruby, Haskell, Prolog",Germany,,20-24,41310,Other,Student,Student,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,Linux,So happy it hurts,Student / Unemployed,"nan, Blackberry, Other Smart Phone, Regular Mobile Phone","$1,001-$2,000",Other
2011,"nan, CSS, SQL, C#, VBA",Canada,,35-39,11,Other,"Fortune 1000 (1,000+)",Systems Analyst,It's been known to happen,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,Windows 7,I'm not happy in my job,"$120,000 - $140,000","iPhone, Blu-Ray, HDTV, iPad, PS3, Xbox","$2,001-$3,000",Stack Overflow
2011,"nan, C#, C++",Germany,,40-50,11,Software Products,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Blu-Ray",$100-$250,Stack Overflow
2011,"nan, SQL, C#",United States of America,Massachusetts,25-29,41435,Manufacturing,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,">$140,000","nan, Regular Mobile Phone",$251-$500,Stack Overflow
2011,"Java, Python, C++, C",Other Europe,,25-29,11,Gaming,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, Approver","Hardware, Software, Consultants","<$10,000",Mobile,Mac OS X,I'm not happy in my job,"<$20,000","iPhone, iPad, Xbox","$501-$1,000",Stack Overflow
2011,"nan, SQL, C#, C++, C",Germany,,30-34,11,Other,"Fortune 1000 (1,000+)",Embedded Application Developer,It's been known to happen,"nan, Recommender, No Involvement","nan, Software","nan, Don't know",Other,Windows XP,I'm not happy in my job,"$100,000 - $120,000","nan, Other Smart Phone, Other netbook",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, Objective-C",United Kingdom,,35-39,11,Web Services,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Mobile,Windows 7,It pays the bills,"$60,000 - $80,000","nan, Regular Mobile Phone, HDTV, PS3, Wii","$2,001-$3,000",Stack Overflow
2011,"Java, JavaScript, SQL, C#, C, AS3",Central America,,20-24,41310,Finance / Banking,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, Don't know",SaaS,Windows 7,I enjoy going to work,"$20,000 - $40,000",iPhone,"$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, SQL, C#, Perl",United States of America,Illinois,25-29,11,Finance / Banking,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software, Other","nan, Don't know",Web Platform,Mac OS X,I enjoy going to work,,"iPhone, HDTV, Xbox, Wii",,Stack Overflow
2011,"nan, PHP, Ruby, SQL, VB, COBOL",United States of America,Arkansas,20-24,<2,Other,"Fortune 1000 (1,000+)",Desktop Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV, PS3, Xbox","$2,001-$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C, Perl",United States of America,California,35-39,11,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, >$150,000",Web Platform,Linux,I enjoy going to work,"$120,000 - $140,000","iPhone, Android, HDTV, Xbox","$501-$1,000",Stack Overflow
2011,"nan, SQL, C#, C++, C",United States of America,Indiana,30-34,11,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I'm not happy in my job,"$60,000 - $80,000","nan, Regular Mobile Phone, Sony eReader",$100-$250,Stack Overflow
2011,"nan, PHP, C++, C",United States of America,Kentucky,25-29,11,Consulting,Mature Small Business (25-100),Systems Analyst,Once in a blue moon,"nan, No Involvement",nan,nan,Other,Mac OS X,It pays the bills,"$80,000 - $100,000","nan, Android, Blackberry, Regular Mobile Phone, Other netbook, Wii","$501-$1,000",Server Fault
2011,"Java, JavaScript, CSS, Ruby, SQL, C#, Perl",Netherlands,,25-29,11,Consulting,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software, Consultants, Other","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, HDTV, Xbox","$501-$1,000",Stack Overflow
2011,"nan, C#, C++",Russia,,20-24,41310,Software Products,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"nan, Recommender","Hardware, Software","nan, Don't know",Enterprise,Windows 7,It pays the bills,"<$20,000","nan, Regular Mobile Phone","$2,001-$3,000",Stack Overflow
2011,"nan, SQL, C#",Canada,,25-29,41435,Software Products,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Servers, Software","nan, Don't know",Enterprise,Windows 7,It pays the bills,"$40,000 - $60,000","nan, Other Smart Phone, HDTV, PS3, Xbox, Wii, Other gaming system","$501-$1,000",Stack Overflow
2011,"nan, SQL, C#, vb.net",Canada,,35-39,11,Consulting,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,Windows 7,I enjoy going to work,,nan,,Stack Overflow
2011,"nan, C#, PowerShell",United States of America,Texas,25-29,41435,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone",<$100,Stack Overflow
2011,"nan, SQL, C#",United Kingdom,,30-34,11,Consulting,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, Consultants","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$120,000 - $140,000","nan, Android, HDTV","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, Python, SQL, C#, C++, C",Middle East,,20-24,11,Consulting,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","<$10,000",SaaS,Windows 7,It pays the bills,"$20,000 - $40,000","nan, Android, Regular Mobile Phone, Xbox","$501-$1,000",Stack Overflow
2011,"nan, SQL, C#, C",Canada,,40-50,11,Manufacturing,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone, Xbox, Wii","$1,001-$2,000",Stack Overflow
2011,"nan, SQL, C++",Germany,,40-50,11,Finance / Banking,Mid Sized (100-999),Database Administrator,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,Windows Vista,It pays the bills,,iPhone,$100-$250,Stack Overflow
2011,"Java, JavaScript, Python, SQL, C++, C",United States of America,New York,25-29,41435,Web Services,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,SaaS,Mac OS X,I enjoy going to work,"$80,000 - $100,000","nan, Android, Kindle, Blu-Ray, HDTV, Other netbook, PS3, Xbox",$100-$250,Stack Overflow
2011,"nan, JavaScript, SQL, C#",Other Europe,,25-29,41435,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","nan, $10,001 - $25,000",SaaS,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Other Smart Phone, HDTV",$100-$250,Stack Overflow
2011,"nan, JavaScript, SQL, C#",Canada,,30-34,41435,Healthcare,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,,"nan, HDTV, Xbox",$251-$500,Stack Overflow
2011,"Java, SQL, C#, C++",United States of America,Texas,35-39,11,Software Products,Mid Sized (100-999),Desktop Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Software","<$10,000",Enterprise,Windows 7,I enjoy going to work,"$80,000 - $100,000","nan, HDTV, Wii","$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, C#, C",United States of America,Arizona,25-29,41435,Education,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Purchaser","nan, Software","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, laptop",<$100,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, VB.NET",United Kingdom,,35-39,11,Other,"Fortune 1000 (1,000+)",Web Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I'm not happy in my job,"$40,000 - $60,000","nan, Android, Other Smart Phone, Kindle, Other netbook, Wii","$501-$1,000",Stack Overflow
2011,"nan, C#, Visual Basic.NET",United States of America,South Dakota,25-29,41310,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,Once in a blue moon,"nan, Recommender, No Involvement","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Windows XP,It pays the bills,"$40,000 - $60,000","nan, Blu-Ray, HDTV, Other netbook, Xbox, Wii, Other gaming system","$1,001-$2,000",Other
2011,"nan, Ruby, C",Italy,,30-34,41435,Consulting,Mid Sized (100-999),IT Staff / System Administrator,Once in a blue moon,"nan, Recommender","nan, Servers, Software","<$10,000",Mobile,Linux,It pays the bills,"$40,000 - $60,000","nan, PS3, Wii","$2,001-$3,000",Stack Overflow
2011,"nan, CSS, SQL, C#",United Kingdom,,25-29,41435,Software Products,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, Purchaser","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,Windows 7,I enjoy going to work,"$40,000 - $60,000","iPhone, Xbox","$1,001-$2,000",Stack Overflow
2011,"nan, JavaScript, SQL, C#",United Kingdom,,40-50,11,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,It's been known to happen,"nan, Recommender","nan, Other","nan, Don't know",Enterprise,Windows XP,It pays the bills,"$100,000 - $120,000","nan, Android, iPad, Wii",$251-$500,Other
2011,"nan, JavaScript, CSS, Python, SQL, C#, C++, C",Canada,,30-34,41435,Consulting,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Other,Windows 7,It pays the bills,,"nan, Xbox",$100-$250,Stack Overflow
2011,"nan, C#",United States of America,Michigan,30-34,41310,Other,"Fortune 1000 (1,000+)",Desktop Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,Windows XP,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, HDTV, PS3, Wii","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL, C#, C",United States of America,Florida,25-29,41310,Advertising,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Linux,It pays the bills,"<$20,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, Wii",$100-$250,Stack Overflow
2011,"Java, JavaScript, CSS, PHP, Python, SQL, Groovy, ColdFusion",United States of America,New York,30-34,11,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,It's been known to happen,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,Mac OS X,I enjoy going to work,">$140,000","iPhone, HDTV, AppleTV, iPad, Xbox, Wii","$2,001-$3,000",Stack Overflow
2011,"nan, SQL, C#",United States of America,Pennsylvania,30-34,41435,Finance / Banking,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,It's been known to happen,"Influencer, Recommender","nan, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, Don't know",Web Platform,Windows XP,I enjoy going to work,,"nan, Kindle, HDTV",<$100,Stack Overflow
2011,"nan, SQL, C#, VB.NET",United States of America,New Hampshire,25-29,41310,Education,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Wii, Other gaming system","$501-$1,000",Stack Overflow
2011,"nan, CSS, C",United States of America,Connecticut,20-24,<2,Manufacturing,Mature Small Business (25-100),Other,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Other,Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Android, PS3","$1,001-$2,000",Stack Overflow
2011,"nan, SQL, C#, C++, C, VB.NET",India,,20-24,41310,Education,Student,Student,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","<$10,000",Web Platform,Windows 7,I enjoy going to work,Student / Unemployed,"nan, Other Smart Phone, Regular Mobile Phone",$251-$500,Stack Overflow
2011,"Java, JavaScript, CSS, SQL, C#",United States of America,California,30-34,11,Advertising,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,Influencer,"nan, Software","nan, Don't know",Web Platform,Windows 7,It pays the bills,"$120,000 - $140,000","nan, Android, HDTV, PS3, Xbox","$1,001-$2,000",Stack Overflow
2011,"nan, SQL, C#, C++, VB",Other Europe,,40-50,11,Software Products,Mature Small Business (25-100),Server Programmer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Blu-Ray, HDTV, Xbox, Wii","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C#",United States of America,Florida,25-29,41435,Consulting,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software, Consultants","<$10,000, $10,001 - $25,000",Web Platform,Windows 7,It pays the bills,"$40,000 - $60,000","iPhone, HDTV, iPad, Other netbook, Wii","$2,001-$3,000",Stack Overflow
2011,"nan, JavaScript, SQL, C#, C++, C",United States of America,Texas,30-34,41435,Software Products,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Nook, HDTV, iPad, Wii",$251-$500,Stack Overflow
2011,"Java, SQL, C#",United States of America,Pennsylvania,25-29,41310,Other,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android, Blu-Ray, Xbox, Wii","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, PHP, SQL, C#, VB",United States of America,Virginia,20-24,41435,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software","<$10,000",Enterprise,Windows 7,It pays the bills,"$40,000 - $60,000","nan, Android, Kindle, Blu-Ray, HDTV, iPad, Wii",">$3,000",Stack Overflow
2011,"nan, Python, SQL, C",South America,,30-34,11,Finance / Banking,Mid Sized (100-999),IT Staff / System Administrator,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software","nan, Don't know",Web Platform,Linux,I enjoy going to work,"$40,000 - $60,000","nan, Android, Blackberry, Other gaming system",$251-$500,Other
2011,"nan, JavaScript, CSS, SQL, C#, C++, C, Perl, XSLT",Other Asia,,25-29,11,Web Services,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"nan, Approver, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",Web Platform,Mac OS X,So happy it hurts,"<$20,000","iPhone, HDTV, Other netbook","$1,001-$2,000",Super User
2011,nan,Other Asia,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"nan, SQL, C#, C++, VB",Other Europe,,40-50,11,Software Products,Mature Small Business (25-100),Server Programmer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,,,nan,,
2011,"nan, Python, C++, C",United States of America,California,25-29,41310,Other,"Fortune 1000 (1,000+)",Other,Once in a blue moon,"nan, No Involvement",nan,nan,Other,Linux,I enjoy going to work,"$60,000 - $80,000","nan, Android","$501-$1,000",Programmers Stack Exchange
2011,nan,Other Europe,,,,,,,,nan,nan,nan,,,,,nan,,
2011,"nan, CSS, SQL, C#, ASP",United States of America,Texas,35-39,11,Manufacturing,Mid Sized (100-999),Systems Analyst,Once in a blue moon,Influencer,"nan, Other","<$10,000",Web Platform,Windows 7,I enjoy going to work,"$20,000 - $40,000","nan, Blackberry",<$100,Server Fault
2011,"nan, SQL, C#",Other Europe,,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Other","nan, Don't know",Mobile,Windows 7,I enjoy going to work,"$20,000 - $40,000",nan,"$1,001-$2,000",Stack Overflow
2011,"Java, JavaScript, CSS, SQL, C#, C++, C",United Kingdom,,25-29,41435,Consulting,Mid Sized (100-999),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",Web Platform,Windows Vista,I enjoy going to work,"$40,000 - $60,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, Wii",$251-$500,Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",Canada,,35-39,11,Consulting,Start Up (1-25),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, Android, Blu-Ray, HDTV, PS3, Xbox, Other gaming system, kobo",">$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#, VB.Net",United States of America,Arizona,30-34,41435,Other,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser, Check Writer","nan, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,Windows XP,I'm not happy in my job,"$60,000 - $80,000","nan, Blackberry, iPad",$100-$250,Stack Overflow
2011,"nan, Perl",United States of America,Iowa,25-29,11,Other,"Other (not working, consultant, etc.)",Other,It's been known to happen,"nan, No Involvement",nan,nan,Other,Linux,I enjoy going to work,Student / Unemployed,nan,<$100,Stack Overflow
2011,"Java, C#, Visual Basic",South America,,20-24,11,Manufacturing,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"<$20,000","iPhone, Blackberry, HDTV, iPad, PS3","$501-$1,000",Stack Overflow
2011,"nan, Python, C++",United Kingdom,,40-50,11,Software Products,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, $75,001 - $100,000",Enterprise,Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Other Smart Phone, HDTV, iPad, PS3",">$3,000",Super User
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,Missouri,25-29,41435,Software Products,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",SaaS,Windows 7,It pays the bills,"$60,000 - $80,000","nan, Android, HDTV, Xbox, Wii, Other gaming system","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United States of America,Arizona,30-34,41435,Consulting,Start Up (1-25),Web Application Developer,Once in a blue moon,"nan, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Enterprise,Windows 7,It pays the bills,"$80,000 - $100,000","nan, Regular Mobile Phone, Wii","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS, Ruby, SQL, C++, C, Perl",United States of America,Minnesota,35-39,11,Consulting,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,Mac OS X,I enjoy going to work,"$80,000 - $100,000","nan, HDTV, iPad, Other gaming system","$2,001-$3,000",Stack Overflow
2011,"nan, SQL, C++, C",United Kingdom,,35-39,11,Consulting,"Fortune 1000 (1,000+)",IT Staff / System Administrator,It's been known to happen,"nan, Recommender","nan, Software","<$10,000",Other,Windows XP,I enjoy going to work,"$60,000 - $80,000","nan, Android, HDTV",$100-$250,Stack Overflow
2011,"nan, C#",United States of America,Maryland,25-29,41310,Software Products,"Fortune 1000 (1,000+)",Desktop Application Developer,Once in a blue moon,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I'm not happy in my job,"$60,000 - $80,000","nan, Regular Mobile Phone, Blu-Ray, HDTV, Other netbook, PS3","$501-$1,000",Stack Overflow
2011,"nan, JavaScript, CSS, Ruby, SQL, C#, C++, C",Canada,,35-39,11,Software Products,Mature Small Business (25-100),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software","nan, Don't know",Enterprise,Windows 7,,,nan,,
2011,nan,India,,20-24,41310,Consulting,,,,nan,nan,nan,,,,,nan,,
2011,"nan, JavaScript, CSS, SQL, C#",United Kingdom,,30-34,41435,Web Services,Mature Small Business (25-100),Web Application Developer,It's been known to happen,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Other netbook","$501-$1,000",Stack Overflow
2011,"Java, JavaScript, CSS, PHP, SQL, Delphi",Other Europe,,< 20,41310,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Recommender","Hardware, Servers, Software","nan, Don't know",Web Platform,Windows 7,I enjoy going to work,"<$20,000","nan, Other netbook, Other gaming system, Simply the fastest GFX card on Earth...","$1,001-$2,000",Stack Overflow
2011,"nan, C#, C++, C, Perl",United States of America,New York,40-50,11,Consulting,Mature Small Business (25-100),Embedded Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Windows XP,I enjoy going to work,"$100,000 - $120,000","nan, Regular Mobile Phone, Xbox, Wii","$501-$1,000",Stack Overflow
2011,"Java, SQL, C#, C++, C",United States of America,New York,35-39,11,Other,"Fortune 1000 (1,000+)",Desktop Application Developer,Once in a blue moon,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,Windows XP,It pays the bills,"$80,000 - $100,000",nan,"$1,001-$2,000",Stack Overflow
2011,"Java, Python, SQL, C#, C",United Kingdom,,40-50,11,Finance / Banking,Mature Small Business (25-100),Systems Analyst,It's been known to happen,"nan, No Involvement",nan,nan,Enterprise,Windows 7,I enjoy going to work,">$140,000","nan, Regular Mobile Phone, HDTV",">$3,000",Stack Overflow
2011,"Java, JavaScript, CSS, SQL, C#",Canada,,30-34,41435,Healthcare,Mid Sized (100-999),Systems Analyst,It's been known to happen,"nan, Recommender","nan, Servers","nan, Don't know",Enterprise,Windows 7,I enjoy going to work,"$80,000 - $100,000","iPhone, Xbox, Wii","$2,001-$3,000",Stack Overflow
2011,"nan, JavaScript, CSS, SQL, C#",United Kingdom,,20-24,41310,Other,Mature Small Business (25-100),Web Application Developer,It's been known to happen,Influencer,"Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,Windows 7,It pays the bills,"$20,000 - $40,000","iPhone, Android, HDTV, iPad, Other netbook, Xbox, Other gaming system","$1,001-$2,000",Programmers Stack Exchange
